"","fixed.acidity","volatile.acidity","citric.acid","residual.sugar","chlorides","free.sulfur.dioxide","total.sulfur.dioxide","density","pH","sulphates","alcohol","colour","quality"
"25",7.6,0.43,0.29,2.1,0.075,19,66,0.99718,3.4,0.64,9.5,1,0
"26",7.5,0.61,0.2,1.7,0.076,36,60,0.99494,3.1,0.4,9.3,1,0
"27",8.8,0.42,0.21,2.5,0.092,33,88,0.99823,3.19,0.52,9.2,1,0
"28",7.4,0.16,0.33,1.2,0.042,47,121,0.99198,3.04,0.68,10.5,0,1
"29",7.9,0.33,0.28,31.6,0.053,35,176,1.0103,3.15,0.38,8.8,0,1
"30",8.2,0.26,0.44,1.3,0.046,7,69,0.9944,3.14,0.62,10.2,0,0
"31",5.8,0.22,0.29,0.9,0.034,34,89,0.98936,3.14,0.36,11.1,0,1
"32",7.1,0.18,0.26,1.3,0.041,20,71,0.9926,3.04,0.74,9.9,0,1
"33",6.7,0.26,0.29,5.8,0.025,26,74,0.9929,3.28,0.53,11,0,1
"34",5.8,0.54,0,1.4,0.033,40,107,0.98918,3.26,0.35,12.4,0,0
"35",7.6,0.36,0.44,8.3,0.255,28,142,0.9958,3.12,0.43,10.2,0,1
"36",5.6,0.23,0.25,8,0.043,31,101,0.99429,3.19,0.42,10.4,0,1
"37",7.2,0.16,0.49,1.3,0.037,27,104,0.9924,3.23,0.57,10.6,0,1
"38",5.6,0.26,0.5,11.4,0.029,25,93,0.99428,3.23,0.49,10.5,0,1
"39",8.9,0.3,0.35,4.6,0.032,32,148,0.99458,3.15,0.45,11.5,0,1
"40",7.1,0.26,0.19,8.2,0.051,53,187,0.996,3.16,0.52,9.7,0,0
"41",6.4,0.64,0.21,1.8,0.081,14,31,0.99689,3.59,0.66,9.8,1,0
"42",7,0.15,0.3,13.3,0.049,46,120,0.99704,3.2,0.36,9.5,0,1
"43",10,0.49,0.2,11,0.071,13,50,1.0015,3.16,0.69,9.2,1,1
"44",7.1,0.26,0.37,5.5,0.025,31,105,0.99082,3.06,0.33,12.6,0,1
"45",7.5,0.23,0.3,1.2,0.03,27,80,0.99192,3.05,0.68,10.5,0,0
"46",6.4,0.28,0.56,1.7,0.156,49,106,0.99354,3.1,0.37,9.2,0,1
"47",7.6,0.23,0.26,15.3,0.067,32,166,0.9986,3.03,0.44,9.2,0,0
"48",6.5,0.21,0.35,5.7,0.043,47,197,0.99392,3.24,0.5,10.1,0,1
"49",6.5,0.425,0.4,13.1,0.038,59,241,0.9979,3.23,0.57,9,0,0
"50",6.8,0.33,0.28,1.2,0.032,38,131,0.9889,3.19,0.41,13,0,1
"51",6.7,0.24,0.26,12.6,0.053,44,182,0.99802,3.42,0.42,9.7,0,0
"52",6.7,0.28,0.34,8.9,0.048,32,111,0.99455,3.25,0.54,11,0,1
"53",7.5,0.51,0.02,1.7,0.084,13,31,0.99538,3.36,0.54,10.5,1,1
"54",7.1,0.29,0.34,7.8,0.036,49,128,0.99397,3.21,0.4,10.7,0,1
"55",9.2,0.43,0.52,2.3,0.083,14,23,0.9976,3.35,0.61,11.3,1,1
"56",6.5,0.51,0.25,1.7,0.048,39,177,0.99212,3.28,0.57,10.6,0,0
"57",8.1,0.2,0.3,1.3,0.036,7,49,0.99242,2.99,0.73,10.3,0,0
"58",10,0.44,0.49,2.7,0.077,11,19,0.9963,3.23,0.63,11.6,1,1
"59",5.8,0.32,0.31,2.7,0.049,25,153,0.99067,3.44,0.73,12.2,0,1
"60",6.2,0.2,0.32,2.8,0.05,17,126,0.9936,3.18,0.55,9.4,0,1
"61",5.5,0.315,0.38,2.6,0.033,10,69,0.9909,3.12,0.59,10.8,0,1
"62",8.6,0.53,0.22,2,0.1,7,27,0.9967,3.2,0.56,10.2,1,1
"63",7.6,0.31,0.29,10.5,0.04,21,145,0.9966,3.04,0.35,9.4,0,0
"64",5.8,0.19,0.24,1.3,0.044,38,128,0.99362,3.77,0.6,10.6,0,0
"65",5.6,0.21,0.24,4.4,0.027,37,150,0.991,3.3,0.31,11.5,0,1
"66",7.9,0.32,0.51,1.8,0.341,17,56,0.9969,3.04,1.08,9.2,1,1
"67",7.5,0.13,0.38,1.1,0.023,42,104,0.99112,3.28,0.53,11.8,0,1
"68",7.3,0.31,0.25,6.65,0.032,30,138,0.99244,2.9,0.37,11.1,0,0
"69",6,0.19,0.37,9.7,0.032,17,50,0.9932,3.08,0.66,12,0,1
"70",7.8,0.19,0.32,7.4,0.015,47,124,0.99278,2.99,0.39,11,0,1
"71",6.6,0.25,0.35,2.9,0.034,38,121,0.99008,3.19,0.4,12.8,0,1
"72",7.6,1.58,0,2.1,0.137,5,9,0.99476,3.5,0.4,10.9,1,0
"73",7.5,0.14,0.34,1.3,0.055,50,153,0.9945,3.29,0.8,9.6,0,1
"74",6.2,0.3,0.32,1.2,0.052,32,185,0.99266,3.28,0.44,10.1,0,0
"75",7.2,0.39,0.54,1.4,0.157,34,132,0.99449,3.11,0.53,9,0,1
"76",5.9,0.24,0.26,12.3,0.053,34,134,0.9972,3.34,0.45,9.5,0,1
"77",6.9,0.32,0.15,8.1,0.046,51,180,0.9958,3.13,0.45,8.9,0,0
"78",5.2,0.16,0.34,0.8,0.029,26,77,0.99155,3.25,0.51,10.1,0,1
"79",12,0.45,0.55,2,0.073,25,49,0.9997,3.1,0.76,10.3,1,1
"80",7.1,0.75,0.01,2.2,0.059,11,18,0.99242,3.39,0.4,12.8,1,1
"81",6.1,0.32,0.25,2.3,0.071,23,58,0.99633,3.42,0.97,10.6,1,0
"82",9.1,0.3,0.41,2,0.068,10,24,0.99523,3.27,0.85,11.7,1,1
"83",6.5,0.28,0.33,15.7,0.053,51,190,0.9978,3.22,0.51,9.7,0,1
"84",6.8,0.15,0.32,8.8,0.058,24,110,0.9972,3.4,0.4,8.8,0,1
"85",8,0.27,0.33,1.2,0.05,41,103,0.99002,3,0.45,12.4,0,1
"86",7.7,0.24,0.31,1.3,0.047,33,106,0.993,3.22,0.55,10.8,0,1
"87",6.7,0.21,0.34,1.4,0.049,36,112,0.99091,3.02,0.5,11,0,1
"88",6.2,0.3,0.32,1.7,0.032,30,130,0.9911,3.28,0.41,11.2,0,1
"89",7.4,0.24,0.36,2,0.031,27,139,0.99055,3.28,0.48,12.5,0,1
"90",6.2,0.33,0.29,1.3,0.042,26,138,0.9956,3.77,0.64,9.5,0,0
"91",6.6,0.22,0.35,1.4,0.05,23,83,0.99019,3.17,0.48,12,0,1
"92",6.7,0.4,0.22,8.8,0.052,24,113,0.99576,3.22,0.45,9.4,0,0
"93",9.3,0.27,0.41,2,0.091,6,16,0.998,3.28,0.7,9.7,1,0
"94",5.8,0.42,0.3,2.2,0.035,26,129,0.989,3.32,0.47,12.9,0,1
"95",6.9,0.32,0.13,7.8,0.042,11,117,0.996,3.23,0.37,9.2,0,0
"96",10.6,0.31,0.49,2.5,0.067,6,21,0.9987,3.26,0.86,10.7,1,1
"97",8.4,0.57,0.44,10.7,0.051,46,195,0.9981,3.15,0.51,10.4,0,0
"98",7,0.21,0.42,5.3,0.037,36,123,0.99321,3.14,0.52,10.9,0,1
"99",6.8,0.52,0.32,13.2,0.044,54,221,0.9972,3.27,0.5,9.6,0,1
"100",6.4,0.42,0.19,9.3,0.043,28,145,0.99433,3.23,0.53,10.98,0,0
"101",6.9,0.19,0.35,5,0.067,32,150,0.995,3.36,0.48,9.8,0,0
"102",6.4,0.16,0.32,8.75,0.038,38,118,0.99449,3.19,0.41,10.7,0,0
"103",7.4,0.41,0.66,10.8,0.051,77,194,0.9976,3.05,0.46,8.7,0,0
"104",6.6,0.28,0.34,0.8,0.037,42,119,0.9888,3.03,0.37,12.5,0,1
"105",7.1,0.44,0.27,8.4,0.057,60,160,0.99257,3.16,0.36,11.8,0,1
"106",7.2,0.19,0.31,6.3,0.034,17,103,0.99305,3.15,0.52,11.4,0,1
"107",5.1,0.31,0.3,0.9,0.037,28,152,0.992,3.54,0.56,10.1,0,1
"108",10.2,0.41,0.43,2.2,0.11,11,37,0.99728,3.16,0.67,10.8,1,0
"109",7,0.43,0.3,2,0.085,6,39,0.99346,3.33,0.46,11.9,1,1
"110",8,0.18,0.37,0.9,0.049,36,109,0.99007,2.89,0.44,12.7,1,1
"111",11.6,0.23,0.57,1.8,0.074,3,8,0.9981,3.14,0.7,9.9,1,1
"112",6.8,0.33,0.44,7,0.05,29,155,0.9955,3.14,0.42,9.5,0,0
"113",6,0.17,0.49,1,0.034,26,106,0.992,3.21,0.42,9.8,0,1
"114",6.8,0.24,0.37,7.45,0.043,59,188,0.99579,3.2,0.5,9.4,0,1
"115",7.4,0.24,0.29,10.1,0.05,21,105,0.9962,3.13,0.35,9.5,0,0
"116",7.3,0.23,0.34,9.3,0.052,19,86,0.99574,3.04,0.56,10,0,0
"117",6.4,0.22,0.38,9.1,0.044,35,127,0.99326,2.97,0.3,11,0,1
"118",6.7,0.32,0.32,1.7,0.031,31,114,0.98946,3.12,0.35,12.5,0,1
"119",7.6,0.3,0.4,2.2,0.054,29,175,0.99445,3.19,0.53,9.8,0,0
"120",6.2,0.24,0.22,7.9,0.053,45,149,0.99545,3.23,0.52,9.3,0,0
"121",6.6,0.18,0.28,3.3,0.044,18,91,0.993,3.42,0.64,10.8,0,1
"122",6.9,0.44,0,1.4,0.07,32,38,0.99438,3.32,0.58,11.4,1,1
"123",7.3,0.25,0.36,2.1,0.034,30,177,0.99085,3.25,0.4,11.9,0,1
"124",7.7,0.25,0.3,7.8,0.038,67,196,0.99555,3.1,0.5,10.1,0,0
"125",7.2,0.3,0.26,1.5,0.041,46,178,0.99154,3.19,0.56,11.3,0,1
"126",5.8,0.3,0.33,3.5,0.033,25,116,0.99057,3.2,0.44,11.7,0,1
"127",7.2,0.21,0.37,1.6,0.049,23,94,0.9924,3.16,0.48,10.9,0,1
"128",7,0.36,0.21,2.4,0.086,24,69,0.99556,3.4,0.53,10.1,1,1
"129",7,0.51,0.09,2.1,0.062,4,9,0.99584,3.35,0.54,10.5,1,0
"130",6.8,0.19,0.33,1.3,0.031,22,87,0.98987,3.08,0.62,12.3,0,1
"131",7.8,0.27,0.58,11.2,0.036,44,161,0.9977,3.06,0.41,8.9,0,1
"132",6.9,0.2,0.36,1.5,0.031,38,147,0.9931,3.35,0.56,11,0,1
"133",7.3,0.2,0.44,1.4,0.045,21,98,0.9924,3.15,0.46,10,0,1
"134",7.7,0.24,0.3,1.4,0.041,15,102,0.9929,3.26,0.53,10.4,0,1
"135",6.4,0.29,0.21,9.65,0.041,36,119,0.99334,2.99,0.34,10.93333333,0,1
"136",7.6,0.345,0.26,1.9,0.043,15,134,0.9936,3.08,0.38,9.5,0,0
"137",7.2,0.47,0.16,5.9,0.048,14,125,0.99428,3.09,0.49,9.8,0,0
"138",7.5,0.14,0.34,1.3,0.055,50,153,0.9945,3.29,0.8,9.6,0,1
"139",6,0.2,0.26,14.7,0.045,53,125,0.998365,2.99,0.69,9.4,0,1
"140",6.7,0.32,0.44,2.4,0.061,24,34,0.99484,3.29,0.8,11.6,1,1
"141",6.4,0.35,0.28,1.1,0.055,9,160,0.99405,3.42,0.5,9.1,0,1
"142",6.3,0.25,0.23,14.9,0.039,47,142,0.99705,3.14,0.35,9.7,0,1
"143",8.3,0.66,0.15,1.9,0.079,17,42,0.9972,3.31,0.54,9.6,1,1
"144",8.1,0.28,0.46,15.4,0.059,32,177,1.0004,3.27,0.58,9,0,0
"145",8.3,0.33,0.42,2.3,0.07,9,20,0.99426,3.38,0.77,12.7,1,1
"146",6.8,0.64,0,2.7,0.123,15,33,0.99538,3.44,0.63,11.3,1,1
"147",6,0.2,0.26,6.8,0.049,22,93,0.9928,3.15,0.42,11,0,1
"148",7.7,0.39,0.12,1.7,0.097,19,27,0.99596,3.16,0.49,9.4,1,0
"149",7.9,0.16,0.74,17.85,0.037,52,187,0.9998,2.99,0.41,9.3,0,0
"150",6.8,0.15,0.41,12.9,0.044,79.5,182,0.99742,3.24,0.78,10.2,0,1
"151",8,0.715,0.22,2.3,0.075,13,81,0.99688,3.24,0.54,9.5,1,1
"152",6.4,0.25,0.37,4.5,0.039,41,147,0.9921,3.18,0.4,11.1,0,1
"153",6,0.16,0.22,1.6,0.042,36,106,0.9905,3.24,0.32,11.4,0,1
"154",6,0.24,0.27,1.9,0.048,40,170,0.9938,3.64,0.54,10,0,1
"155",7.3,0.16,0.35,1.5,0.036,29,108,0.99342,3.27,0.51,10.2,0,1
"156",6.3,0.28,0.22,11.5,0.036,27,150,0.99445,3,0.33,10.6,0,1
"157",7.6,0.43,0.29,2.1,0.075,19,66,0.99718,3.4,0.64,9.5,1,0
"158",6.8,0.28,0.34,7.5,0.035,34,177,0.99692,3.33,0.43,9.1,0,0
"159",8,0.55,0.42,12.6,0.211,37,213,0.9988,2.99,0.56,9.3,0,0
"160",8.3,0.15,0.39,1.3,0.055,32,146,0.993,3.08,0.39,10.5,0,1
"161",11.1,0.44,0.42,2.2,0.064,14,19,0.99758,3.25,0.57,10.4,1,1
"162",6.5,0.18,0.48,18,0.054,56,183,1.00038,2.98,0.61,8.5,0,1
"163",6.4,0.145,0.49,5.4,0.048,54,164,0.9946,3.56,0.44,10.8,0,1
"164",9.7,0.24,0.45,1.2,0.033,11,59,0.9926,2.74,0.47,10.8,0,1
"165",6.9,0.28,0.27,2.1,0.036,42,121,0.9926,3.42,0.49,10.8,0,1
"166",6.7,0.75,0.01,2.4,0.078,17,32,0.9955,3.55,0.61,12.8,1,1
"167",8,0.24,0.33,1.2,0.044,28,101,0.99035,3.03,0.43,12.5,0,1
"168",7.2,0.24,0.29,3,0.036,17,117,0.99411,3.36,0.68,10.1,0,1
"169",15.6,0.685,0.76,3.7,0.1,6,43,1.0032,2.95,0.68,11.2,1,1
"170",7.6,0.43,0.31,2.1,0.069,13,74,0.9958,3.26,0.54,9.9,1,1
"171",6.1,0.29,0.27,1.7,0.024,13,76,0.9893,3.21,0.51,12.6,0,1
"172",10.2,0.33,0.46,1.9,0.081,6,9,0.99628,3.1,0.48,10.4,1,1
"173",4.7,0.335,0.14,1.3,0.036,69,168,0.99212,3.47,0.46,10.5,0,0
"174",7.1,0.34,0.31,5.2,0.032,36,140,0.99166,3.35,0.47,12.3,0,1
"175",7.1,0.35,0.27,3.1,0.034,28,134,0.9897,3.26,0.38,13.1,0,1
"176",8.1,0.82,0,4.1,0.095,5,14,0.99854,3.36,0.53,9.6,1,0
"177",5.9,0.27,0.27,9,0.051,43,136,0.9941,3.25,0.53,10.7,0,1
"178",7.7,0.28,0.58,12.1,0.046,60,177,0.9983,3.08,0.46,8.9,0,0
"179",6.9,0.18,0.3,2,0.038,39,190,0.9914,3.32,0.37,12.2,0,1
"180",7.7,0.835,0,2.6,0.081,6,14,0.9975,3.3,0.52,9.3,1,0
"181",5.9,0.33,0.32,8.1,0.038,9,34,0.9911,3.22,0.36,12.7,0,1
"182",7.1,0.18,0.32,12.2,0.048,36,125,0.9967,2.92,0.54,9.4,0,1
"183",6.6,0.32,0.27,10.9,0.041,37,146,0.9963,3.24,0.47,10,0,0
"184",6.5,0.33,0.28,6.1,0.018,41,103,0.99122,3.24,0.32,12.2,0,1
"185",7.4,0.21,0.8,12.3,0.038,77,183,0.99778,2.95,0.48,9,0,0
"186",6,0.39,0.13,1.2,0.042,60,172,0.99114,3.06,0.52,10.6,0,0
"187",6.5,0.48,0.02,0.9,0.043,32,99,0.99226,3.14,0.47,9.8,0,0
"188",8.4,0.18,0.42,5.1,0.036,7,77,0.9939,3.16,0.52,11.7,0,0
"189",6.4,0.27,0.29,10.8,0.028,17,118,0.99356,3.18,0.37,11.2,0,1
"190",6.4,0.25,0.32,5.5,0.049,41,176,0.995,3.19,0.68,9.2,0,1
"191",5.2,0.21,0.31,1.7,0.048,17,61,0.98953,3.24,0.37,12,0,1
"192",6.8,0.18,0.28,9.8,0.039,29,113,0.99406,3.11,0.45,10.9,0,1
"193",7.4,0.2,0.35,6.1,0.025,10,40,0.99244,2.79,0.52,10.9,0,0
"194",6,0.32,0.3,1.3,0.025,18,112,0.98802,3.07,0.64,13.3,0,1
"195",6.4,0.16,0.28,2.2,0.042,33,93,0.9914,3.31,0.43,11.1,0,1
"196",9.9,0.54,0.45,2.3,0.071,16,40,0.9991,3.39,0.62,9.4,1,0
"197",12,0.39,0.66,3,0.093,12,30,0.9996,3.18,0.63,10.8,1,1
"198",7.1,0.36,0.37,4.8,0.019,39,114,0.99036,3.08,0.49,12.7,0,1
"199",6.6,0.26,0.52,8.2,0.047,52,191,0.99541,3.16,0.47,9.5,0,1
"200",7.6,0.51,0.24,2.4,0.091,8,38,0.998,3.47,0.66,9.6,1,1
"201",5.8,0.34,0.16,7,0.037,26,116,0.9949,3.46,0.45,10,0,1
"202",7.6,0.285,0.32,14.6,0.063,32,201,0.998,3,0.45,9.2,0,0
"203",6.5,0.32,0.12,11.5,0.033,35,165,0.9974,3.22,0.32,9,0,0
"204",6.9,0.37,0.23,9.5,0.057,54,166,0.99568,3.23,0.42,10,0,0
"205",7,0.36,0.25,5.7,0.015,14,73,0.98963,2.82,0.59,13.2,0,1
"206",8.2,0.34,0.29,5.2,0.076,19,92,0.99138,2.95,0.39,12.5,0,1
"207",7.2,0.4,0.24,8.5,0.055,45,151,0.99626,3.2,0.52,9.2,0,0
"208",6.8,0.15,0.3,5.3,0.05,40,127,0.9942,3.4,0.39,9.7,0,1
"209",8.3,0.2,0.49,1.7,0.04,34,169,0.9938,3.05,0.37,10.1,0,0
"210",12.5,0.56,0.49,2.4,0.064,5,27,0.9999,3.08,0.87,10.9,1,0
"211",7.2,0.2,0.34,2.7,0.032,49,151,0.99,3.16,0.39,12.7,0,1
"212",6.6,0.16,0.21,6.7,0.055,43,157,0.99384,3.15,0.52,10.8,0,1
"213",6.7,0.27,0.25,8,0.053,54,202,0.9961,3.22,0.43,9.3,0,0
"214",7.5,0.26,0.31,1.6,0.032,36,109,0.99044,2.97,0.43,11.9,0,1
"215",7.7,0.6,0.06,2,0.079,19,41,0.99697,3.39,0.62,10.1,1,1
"216",7.6,0.28,0.17,1.6,0.046,28,117,0.99288,3.08,0.43,10,0,0
"217",5.9,0.24,0.34,2,0.037,40,108,0.98948,3.19,0.5,12.3,0,1
"218",6.5,0.15,0.55,5.9,0.045,75,162,0.99482,2.97,0.4,9.3,0,0
"219",6.4,0.105,0.29,1.1,0.035,44,140,0.99142,3.17,0.55,10.7,0,1
"220",7.7,0.57,0.21,1.5,0.069,4,9,0.99458,3.16,0.54,9.8,1,1
"221",6.7,0.24,0.39,2.9,0.173,63,157,0.9937,3.1,0.34,9.4,0,1
"222",5.9,0.29,0.32,1.4,0.022,17,47,0.9899,3.35,0.35,11.5,0,1
"223",9.9,0.59,0.07,3.4,0.102,32,71,1.00015,3.31,0.71,9.8,1,0
"224",7.3,0.3,0.33,2.3,0.043,28,125,0.99084,3.34,0.44,12.6,0,1
"225",5.9,0.415,0.13,1.4,0.04,11,64,0.9922,3.29,0.52,10.5,0,0
"226",6.4,0.33,0.3,7.2,0.041,42,168,0.99331,3.22,0.49,11.1,0,1
"227",7.1,0.27,0.27,10.4,0.041,26,114,0.99335,3.04,0.52,11.5,0,1
"228",6.6,0.3,0.25,8,0.036,21,124,0.99362,3.06,0.38,10.8,0,1
"229",6.1,0.32,0.25,1.8,0.086,5,32,0.99464,3.36,0.44,10.1,1,0
"230",12,0.37,0.76,4.2,0.066,7,38,1.0004,3.22,0.6,13,1,1
"231",6.8,0.35,0.44,6.5,0.056,31,161,0.9952,3.14,0.44,9.5,0,0
"232",6.6,0.33,0.4,2.65,0.041,35,86,0.98916,3.11,0.39,13.3,0,1
"233",6.9,0.4,0.17,12.9,0.033,59,186,0.99754,3.08,0.49,9.4,0,0
"234",6.8,0.17,0.36,1.4,0.036,38,108,0.99006,3.19,0.66,12,0,1
"235",7.6,0.32,0.25,9.5,0.03,15,136,0.99367,3.1,0.44,12.1,0,1
"236",7.7,0.26,0.34,6.4,0.05,36,163,0.9937,3.19,0.7,11.5,0,1
"237",7.6,0.2,0.39,2.6,0.044,30,180,0.9941,3.46,0.44,10.8,0,1
"238",7.1,0.6,0.01,2.3,0.079,24,37,0.99514,3.4,0.61,10.9,1,1
"239",10.9,0.32,0.52,1.8,0.132,17,44,0.99734,3.28,0.77,11.5,1,1
"240",5.2,0.44,0.04,1.4,0.036,43,119,0.9894,3.36,0.33,12.1,0,1
"241",8.4,0.34,0.42,2.1,0.072,23,36,0.99392,3.11,0.78,12.4,1,1
"242",6.9,0.28,0.41,1.4,0.016,6,55,0.98876,3.16,0.4,13.4,0,0
"243",8,0.83,0.27,2,0.08,11,63,0.99652,3.29,0.48,9.8,1,0
"244",6.1,0.21,0.38,1.5,0.039,37,122,0.98972,3.2,0.43,12,0,1
"245",7.8,0.29,0.36,7,0.042,38,161,0.9941,3.26,0.37,11.2,0,1
"246",6,0.38,0.26,3.5,0.035,38,111,0.98872,3.18,0.47,13.6,0,1
"247",5.6,0.31,0.78,13.9,0.074,23,92,0.99677,3.39,0.48,10.5,1,1
"248",7.1,0.14,0.4,1.2,0.051,55,136,0.9932,3.3,0.96,9.8,0,1
"249",7.2,0.24,0.36,2,0.029,21,63,0.99076,3.13,0.63,12.5,0,1
"250",10.3,0.53,0.48,2.5,0.063,6,25,0.9998,3.12,0.59,9.3,1,1
"251",7.6,0.23,0.64,12.9,0.033,54,170,0.998,3,0.53,8.8,0,0
"252",6.1,0.3,0.3,2.1,0.031,50,163,0.9895,3.39,0.43,12.7,0,1
"253",8.2,0.21,0.32,10.65,0.053,53,145,0.9972,3.17,0.48,10.2,0,1
"254",6.9,0.5,0.04,1.5,0.085,19,49,0.9958,3.35,0.78,9.5,1,0
"255",5,0.255,0.22,2.7,0.043,46,153,0.99238,3.75,0.76,11.3,0,1
"256",6.1,0.28,0.25,17.75,0.044,48,161,0.9993,3.34,0.48,9.5,0,0
"257",7.3,0.19,0.49,15.55,0.058,50,134,0.9998,3.42,0.36,9.1,0,1
"258",8.2,0.64,0.27,2,0.095,5,77,0.99747,3.13,0.62,9.1,1,1
"259",9.8,0.39,0.43,1.65,0.068,5,11,0.99478,3.19,0.46,11.4,1,0
"260",7.7,0.28,0.29,4.3,0.051,25,142,0.9939,3.16,0.39,10.2,0,0
"261",6.7,0.13,0.32,3.7,0.017,32,99,0.99348,3.12,0.44,10,0,1
"262",5.7,0.22,0.2,16,0.044,41,113,0.99862,3.22,0.46,8.9,0,1
"263",7.2,0.57,0.05,2.3,0.081,16,36,0.99564,3.38,0.6,10.3,1,1
"264",9,0.38,0.53,2.1,0.102,19,76,0.99001,2.93,0.57,12.9,0,0
"265",6.6,0.64,0.31,6.1,0.083,7,49,0.99718,3.35,0.68,10.3,1,0
"266",5,0.2,0.4,1.9,0.015,20,98,0.9897,3.37,0.55,12.05,0,1
"267",6.5,0.41,0.24,14,0.048,24,113,0.9982,3.44,0.53,9.8,0,1
"268",6.4,0.39,0.33,3.3,0.046,12,53,0.99294,3.36,0.62,12.2,1,1
"269",7.3,0.695,0,2.5,0.075,3,13,0.998,3.49,0.52,9.2,1,0
"270",8.7,0.24,0.35,0.6,0.042,11,71,0.9926,3.08,0.38,10.6,0,0
"271",6.7,0.76,0.02,1.8,0.078,6,12,0.996,3.55,0.63,9.95,1,0
"272",7.6,0.16,0.44,1.4,0.043,25,109,0.9932,3.11,0.75,10.3,0,1
"273",8.8,0.33,0.36,2.1,0.034,19,125,0.99166,2.96,0.98,12.7,0,1
"274",6.5,0.16,0.34,1.4,0.029,29,133,0.99108,3.33,0.64,11.5,0,1
"275",12.5,0.6,0.49,4.3,0.1,5,14,1.001,3.25,0.74,11.9,1,1
"276",11.3,0.36,0.66,2.4,0.123,3,8,0.99642,3.2,0.53,11.9,1,1
"277",6.9,0.38,0.25,9.8,0.04,28,191,0.9971,3.28,0.61,9.2,0,0
"278",7.1,0.26,0.3,2,0.031,13,128,0.9917,3.19,0.49,11.4,0,0
"279",6,0.18,0.31,1.4,0.036,14,75,0.99085,3.34,0.58,11.1,0,1
"280",5.3,0.715,0.19,1.5,0.161,7,62,0.99395,3.62,0.61,11,1,0
"281",11.9,0.39,0.69,2.8,0.095,17,35,0.9994,3.1,0.61,10.8,1,1
"282",6.8,0.59,0.06,6,0.06,11,18,0.9962,3.41,0.59,10.8,1,1
"283",7.3,0.19,0.27,13.9,0.057,45,155,0.99807,2.94,0.41,8.8,0,1
"284",6.1,0.38,0.15,1.8,0.072,6,19,0.9955,3.42,0.57,9.4,1,0
"285",7.2,0.23,0.39,14.2,0.058,49,192,0.9979,2.98,0.48,9,0,1
"286",6.8,0.11,0.27,8.6,0.044,45,104,0.99454,3.2,0.37,9.9,0,1
"287",6.7,0.23,0.26,1.4,0.06,33,154,0.9934,3.24,0.56,9.5,0,1
"288",6.7,0.16,0.36,2,0.045,24,131,0.99284,3.3,0.59,10.5,0,1
"289",11.9,0.57,0.5,2.6,0.082,6,32,1.0006,3.12,0.78,10.7,1,1
"290",5.5,0.16,0.31,1.2,0.026,31,68,0.9898,3.33,0.44,11.63333333,0,1
"291",7.6,0.39,0.32,3.6,0.035,22,93,0.99144,3.08,0.6,12.5,0,1
"292",6.9,0.18,0.38,8.1,0.049,44,176,0.9958,3.3,0.54,9.8,0,1
